,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix
71547,108105.0,1996-12-03,099E2.D0,0,1997-02-22,1996-12-03,P,745000.0,21.5,22.5,16.0,45.0,0.188291,-0.430536,0.005968,136.1721,-48.21795,10085072.0,1.0,1.0,100.0,0,,,099E2,D0
71548,108105.0,1996-12-03,09910.D2,0,1997-01-18,1996-12-03,P,670000.0,2.75,3.125,21.0,3224.0,0.255862,-0.091513,0.002471,42.68166,-43.03674,10031314.0,1.0,1.0,100.0,0,,,09910,D2
71549,108105.0,1996-12-03,09A67.E8,0,1997-12-20,1996-12-03,P,725000.0,33.0,35.0,8.0,1985.0,0.186244,-0.325251,0.002493,270.6422,-14.8496,10119144.0,1.0,1.0,100.0,0,,,09A67,E8
71550,108105.0,1996-12-03,09BB5.EB,0,1997-01-18,1996-12-03,P,710000.0,7.25,7.5,63.0,4941.0,0.219091,-0.217962,0.005168,76.41776,-64.04151,10204651.0,1.0,1.0,100.0,0,,,09BB5,EB
71551,108105.0,1996-12-03,09B48.68,0,1997-12-20,1996-11-18,P,475000.0,2.0,2.75,0.0,734.0,0.268794,-0.027307,0.000305,47.83447,-5.416026,10176616.0,1.0,1.0,100.0,0,,,09B48,68
71552,108105.0,1996-12-03,09B69.0D,0,1997-03-22,1996-12-03,P,720000.0,16.625,17.375,109.0,1129.0,0.199427,-0.308651,0.00434,142.0729,-40.36965,10184973.0,1.0,1.0,100.0,0,,,09B69,0D
71553,108105.0,1996-12-03,09BA3.63,0,1997-03-22,1996-11-05,C,710000.0,55.5,56.5,0.0,101.0,0.183808,0.742128,0.004258,128.4605,-54.04147,10199907.0,1.0,1.0,100.0,0,,,09BA3,63
71554,108105.0,1996-12-03,09C09.4A,0,1997-12-20,1996-11-27,P,850000.0,91.25,93.25,0.0,106.0,0.150874,-0.688488,0.002911,256.0297,2.386015,10225994.0,1.0,1.0,100.0,0,,,09C09,4A
71555,108105.0,1996-12-03,09C09.9C,0,1997-02-22,1996-12-03,C,760000.0,18.375,19.125,51.0,148.0,0.158134,0.463617,0.007182,137.6342,-59.78951,10226076.0,1.0,1.0,100.0,0,,,09C09,9C
71556,108105.0,1996-12-03,09BBB.75,0,1997-01-18,1996-12-02,C,550000.0,195.75,196.75,0.0,329.0,,,,,,10206069.0,1.0,1.0,100.0,0,,,09BBB,75
71557,108105.0,1996-12-03,09D05.86,0,1997-12-20,1996-11-12,C,675000.0,113.0,115.0,0.0,2496.0,0.203548,0.754675,0.001883,223.3694,-32.81831,10290566.0,1.0,1.0,100.0,0,,,09D05,86
71558,108105.0,1996-12-03,09B71.FD,0,1996-12-21,1996-12-03,C,770000.0,1.75,2.0,307.0,2724.0,0.134188,0.169207,0.011996,39.51089,-64.25182,10187261.0,1.0,1.0,100.0,0,,,09B71,FD
71559,108105.0,1996-12-03,09C35.CC,0,1997-03-22,1996-11-04,C,575000.0,175.125,176.125,0.0,171.0,,,,,,10237388.0,1.0,1.0,100.0,0,,,09C35,CC
71560,108105.0,1996-12-03,09C8C.65,0,1997-01-18,1996-12-03,P,730000.0,11.625,12.375,249.0,5952.0,0.204233,-0.330322,0.006816,93.95418,-71.357,10259557.0,1.0,1.0,100.0,0,,,09C8C,65
71561,108105.0,1996-12-03,09CDF.B9,0,1997-02-22,1996-11-22,C,740000.0,29.625,30.625,0.0,1505.0,0.168069,0.601457,0.006547,133.3463,-63.78991,10280889.0,1.0,1.0,100.0,0,,,09CDF,B9
71562,108105.0,1996-12-03,09C65.48,0,1997-03-22,1996-09-09,C,620000.0,133.0,134.0,0.0,7.0,0.18838,0.969149,0.000728,22.50341,-21.87056,10249544.0,1.0,1.0,100.0,0,,,09C65,48
71563,108105.0,1996-12-03,09C3A.C1,0,1997-03-22,1996-11-25,C,730000.0,41.125,42.125,0.0,11.0,0.175105,0.651445,0.005149,147.9848,-56.70006,10238657.0,1.0,1.0,100.0,0,,,09C3A,C1
71564,108105.0,1996-12-03,09C3B.52,0,1997-06-21,1996-11-26,P,575000.0,3.625,4.0,0.0,6220.0,0.258312,-0.057909,0.000811,63.66491,-13.63838,10238802.0,1.0,1.0,100.0,0,,,09C3B,52
71565,108105.0,1996-12-03,09BF1.01,0,1997-03-22,1996-12-03,P,775000.0,38.5,39.5,505.0,2512.0,0.172622,-0.587956,0.005511,156.1398,-30.45088,10219777.0,1.0,1.0,100.0,0,,,09BF1,01
71566,108105.0,1996-12-03,09D0C.83,0,1997-01-18,1996-12-03,C,810000.0,0.8125,1.0625,57.0,298.0,0.138878,0.061221,0.003352,31.41939,-19.44842,10292355.0,1.0,1.0,100.0,0,,,09D0C,83
71567,108105.0,1996-12-03,09C95.69,0,1998-06-20,1996-11-27,P,850000.0,89.75,91.75,0.0,148.0,0.151931,-0.603677,0.002582,338.1457,2.654855,10261865.0,1.0,1.0,100.0,0,,,09C95,69
71568,108105.0,1996-12-03,09BCA.3D,0,1997-03-22,1996-12-02,C,750000.0,28.625,29.625,0.0,8835.0,0.166433,0.543132,0.005832,159.3306,-55.96163,10209853.0,1.0,1.0,100.0,0,,,09BCA,3D
71569,108105.0,1996-12-03,09C9C.D3,0,1997-12-20,1996-11-12,C,700000.0,95.0,97.0,0.0,1098.0,0.195373,0.705337,0.002184,248.7118,-34.18803,10263763.0,1.0,1.0,100.0,0,,,09C9C,D3
71570,108105.0,1996-12-03,09BD1.A4,0,1997-12-20,1996-12-03,P,575000.0,7.625,8.625,120.0,3445.0,0.236991,-0.087448,0.000873,120.5554,-11.26183,10211748.0,1.0,1.0,100.0,0,,,09BD1,A4
71571,108105.0,1996-12-03,09D5A.7D,0,1997-03-22,1996-12-02,C,700000.0,63.375,64.375,0.0,4099.0,0.189054,0.779442,0.003785,117.4638,-52.05722,10312317.0,1.0,1.0,100.0,0,,,09D5A,7D
71572,108105.0,1996-12-03,09CA1.F3,0,1997-06-21,,C,810000.0,15.0,15.75,0.0,0.0,0.15243,0.303059,0.004127,191.0553,-32.84645,10265075.0,1.0,1.0,100.0,0,,,09CA1,F3
71573,108105.0,1996-12-03,09C75.54,0,1997-02-22,1996-12-02,C,750000.0,23.5,24.5,0.0,1670.0,0.162352,0.534747,0.006989,137.517,-62.41436,10253652.0,1.0,1.0,100.0,0,,,09C75,54
71574,108105.0,1996-12-03,09C77.56,0,1997-03-22,1996-12-03,P,500000.0,0.25,0.375,90.0,532.0,0.321206,-0.006966,0.000149,7.854239,-4.127347,10254166.0,1.0,1.0,100.0,0,,,09C77,56
71575,108105.0,1996-12-03,09BFE.E9,0,1997-02-22,,C,745000.0,26.375,27.375,0.0,0.0,0.164416,0.569015,0.006819,135.8705,-63.06504,10223337.0,1.0,1.0,100.0,0,,,09BFE,E9
71576,108105.0,1996-12-03,09CA6.CD,0,1997-03-22,1996-12-03,C,800000.0,7.875,8.375,61.0,3232.0,0.145702,0.241785,0.00527,126.0338,-36.3664,10266317.0,1.0,1.0,100.0,0,,,09CA6,CD
71577,108105.0,1996-12-03,09C01.C5,0,1997-01-18,1996-12-03,P,720000.0,9.25,9.75,180.0,1984.0,0.212443,-0.270376,0.005986,85.83305,-68.91212,10224069.0,1.0,1.0,100.0,0,,,09C01,C5
71578,108105.0,1996-12-03,09BDB.A5,0,1996-12-21,1996-12-03,C,780000.0,0.6875,0.9375,1652.0,4804.0,0.137476,0.083501,0.007127,24.04886,-39.58096,10214309.0,1.0,1.0,100.0,0,,,09BDB,A5
71579,108105.0,1996-12-03,09D61.1A,0,1997-06-21,1996-12-03,P,775000.0,44.25,45.25,2.0,2343.0,0.170799,-0.526971,0.004166,216.1154,-19.6395,10314010.0,1.0,1.0,100.0,0,,,09D61,1A
